query_id,user,table_name,access_count,last_accessed
q0000,analyst@demo.local,agg_usage_hourly,10,2026-09-01
q0001,analyst@demo.local,audit_batch,13,2026-09-01
q0002,analyst@demo.local,bridge_acct_product,16,2026-09-01
q0003,analyst@demo.local,bridge_cust_acct,19,2026-09-01
q0004,analyst@demo.local,bridge_party_id,22,2026-09-01
q0005,analyst@demo.local,bridge_risk_factor,25,2026-09-01
q0006,analyst@demo.local,dim_account,28,2026-09-01
q0007,analyst@demo.local,dim_account_status,31,2026-09-01
q0008,analyst@demo.local,dim_party,34,2026-09-01
q0009,analyst@demo.local,dim_party_addr,37,2026-09-01
q0010,analyst@demo.local,fact_invoice,40,2026-09-01
q0011,analyst@demo.local,fact_invoice_line,43,2026-09-01
q0012,analyst@demo.local,fact_party_rel,46,2026-09-01
q0013,analyst@demo.local,fact_payment,49,2026-09-01
q0014,analyst@demo.local,fact_risk_score,52,2026-09-01
q0015,analyst@demo.local,fact_usage_evt,55,2026-09-01
q0016,analyst@demo.local,fact_usage_session,58,2026-09-01
q0017,analyst@demo.local,mart_acct_360,61,2026-09-01
q0018,analyst@demo.local,mart_ar_aging,64,2026-09-01
q0019,analyst@demo.local,mart_finance_360,67,2026-09-01
q0020,analyst@demo.local,mart_party_360,70,2026-09-01
q0021,analyst@demo.local,ref_acct_type,73,2026-09-01
q0022,analyst@demo.local,ref_brand,76,2026-09-01
q0023,analyst@demo.local,ref_charge_type,79,2026-09-01
q0024,analyst@demo.local,ref_country,82,2026-09-01
q0025,analyst@demo.local,ref_currency,85,2026-09-01
q0026,analyst@demo.local,ref_id_type,88,2026-09-01
q0027,analyst@demo.local,ref_network_cell,91,2026-09-01
q0028,analyst@demo.local,ref_party_type,94,2026-09-01
q0029,analyst@demo.local,ref_pay_method,97,2026-09-01
q0030,analyst@demo.local,ref_prod_family,10,2026-09-01
q0031,analyst@demo.local,ref_product,13,2026-09-01
q0032,analyst@demo.local,ref_reg_rule,16,2026-09-01
q0033,analyst@demo.local,ref_rel_type,19,2026-09-01
q0034,analyst@demo.local,ref_risk_band,22,2026-09-01
q0035,analyst@demo.local,ref_role_type,25,2026-09-01
q0036,analyst@demo.local,ref_uom,28,2026-09-01
q0037,analyst@demo.local,snap_compliance_weekly,31,2026-09-01
q0038,analyst@demo.local,stg_acct_raw,34,2026-09-01
q0039,analyst@demo.local,stg_acct_status,37,2026-09-01
q0040,analyst@demo.local,stg_cust_acct,40,2026-09-01
q0041,analyst@demo.local,stg_invoice_hdr,43,2026-09-01
q0042,analyst@demo.local,stg_invoice_line,46,2026-09-01
q0043,analyst@demo.local,stg_party_addr,49,2026-09-01
q0044,analyst@demo.local,stg_party_contact,52,2026-09-01
q0045,analyst@demo.local,stg_party_hist,55,2026-09-01
q0046,analyst@demo.local,stg_party_id_map,58,2026-09-01
q0047,analyst@demo.local,stg_party_raw,61,2026-09-01
q0048,analyst@demo.local,stg_party_rel,64,2026-09-01
q0049,analyst@demo.local,stg_payment,67,2026-09-01
q0050,analyst@demo.local,stg_prod_hold,70,2026-09-01
q0051,analyst@demo.local,stg_risk_signal,73,2026-09-01
q0052,analyst@demo.local,stg_usage_cdr,76,2026-09-01
q0053,analyst@demo.local,stg_usage_session,79,2026-09-01
