object_fqn,consumer,access_count,last_accessed
legacy.crm_cust_mstr,crm_360,4200,2026-08-28
legacy.crm_cust_mstr,billing_reports,1800,2026-08-30
legacy.crm_acct_mstr,billing_reports,5100,2026-08-30
legacy.crm_acct_mstr,crm_360,900,2026-08-25
legacy.crm_party_role,crm_360,600,2026-08-20
legacy.crm_cust_acct_bridge,billing_reports,2200,2026-08-29
marts.dm_cust_360_team_a,crm_360,1500,2026-08-27
marts.dm_cust_360_team_b,adhoc_analyst,12,2026-03-01
legacy.stg_cust_daily,etl_ops,300,2026-08-31
legacy.stg_acct_daily,etl_ops,280,2026-08-31
marts.dm_billing_cust_snap,billing_reports,800,2026-08-28
legacy.crm_addr,crm_360,400,2026-08-15
legacy.crm_contact_pref,marketing,200,2026-07-01
legacy.ref_acct_status,billing_reports,50,2026-08-01
legacy.device_msisdn_map,network_ops,9000,2026-08-31
